NUMBER,CURRENT_LOCATION,FAMILY,STORAGE_LOCATION,SCIENTIFIC_NAME,NOMEN_GENERARUM,EPITHETON_SPECIFICUM,SCIENTIFIC_AUTHORITY_FOR_SPECIES,SUB-SPECIES_OR_VARIETY_OR_CULTIVATED_NAME,SCIENTIFIC_AUTHORITY_FOR_VARIETY,SYNONYMS,ENGLISH_NAME,OTHER_ENGLISH_NAME,ACCEPTED_CHINESE_NAME,OTHER_CHINESE_NAME,FLOWERS,FRUITS,LEAF,WHOLE,SPORANGIUM,HERBARIUM_NUMBER,DATE_OF_ENTRY,VERIFIED_BY,VERIFICATION_DATE,COLLECTOR,COLLECTOR_NUMBER,LOCATION_OF_COLLECTION_IN_ENGLISH,LOCATION_OF_COLLECTION_IN_CHINESE,DATE_OF_COLLECTION,NUMBER_OF_SPECIMEN,QUANTITY_OF_SPECIMENS,ALTITUDE,LONGITUDE,LATITUDE,FIELD_NOTES,RECORDED_IN_HK,TYPE_SPECIMEN,PHOTO,TYPE_OF_PHOTO_STORAGE,LINK_OF_PHOTO,FREEZING,DATE_OF_FREEZING,DATE_TO_TRANSITION,DATE_OF_INVENTORY,CONDITIONS_OF_SPECIMEN,REMARKS,DATE_OF_DATA_ENTRY
Number號碼,Current Location現存位置,Family 科,Storage Location存放位置,Scientific Name拉丁學名,nomen generarum屬,epitheton specificum種加詞,Scientific Authority for species命名人,Sub-species or Variety or Cultivated name亞種或變種或栽培種名,Scientific Authority for variety 變種命名人,Synonyms同義詞,English Name英文名稱,Other English Name其他英文名稱,Accepted Chinese Name中文正名,Other Chinese Name其他中文名稱,Flowers花,Fruits果,Leaf葉,Whole全株,Sporangium孢子囊,Herbarium Number 標本館編號,Date of Entry進館日期,Verified by鑑定人,Verification Date (day/month/year)鑑定日期(日/月/年),Collector採集者,Collector Number採集編號,Location of Collection in English位置(英文),Location of Collection in Chinese位置(中文),Date of Collection (day/month/year)採集日期(日/月/年),Number of Specimen標本數量(份),Quantity of Specimens(copies)複本數量(份),Altitude(m)海拔(米),Longitude經度,Latitude緯度,Field Notes筆記,Recorded in HK香港是否有紀錄,Type Specimen模式標本,Photo照片,Type of photo storage照片存放方式,Link of Photo照片連結,Freezing冷藏消毒,Date of Freezing冷藏日期,Date to Transition進過渡櫃日期,Date of  Inventory 存檔日期,Conditions of Specimen 標本情況,Remarks備註,Date of Data entry輸入資料日期
1,D2-1,Acrostichaceae  鹵蕨科,,Acrostichum aureum L.,Acrostichum,aureum,L.,0,,,,,鹵蕨,金蕨,FALSE,FALSE,TRUE,FALSE,TRUE,1452,6/2000,,,,WCL097,,,,1,3,,,,,TRUE,FALSE,FALSE,,,FALSE,,,,,,2010/8/27
2,D2-1,Adiantaceae 鐵線蕨科,,Adiantum caudatum L.,Adiantum,caudatum,L.,0,,,Walking Maidenhair,Walking Fern,鞭葉鐵線蕨,有尾鐵線蕨,FALSE,FALSE,FALSE,TRUE,FALSE,1611,10/03/15,,,,W113,Wang Shan Keuk,,,1,1,0,,,,TRUE,FALSE,FALSE,,,FALSE,,,,,Missed,2010/9/1
3,D2-1,Adiantaceae 鐵線蕨科,,Adiantum flabellulatum L.,Adiantum,flabellulatum,L.,0,,,Desert Rose,Common Adenium,扇葉鐵線蕨,,FALSE,FALSE,FALSE,FALSE,FALSE,536,1992,,,Wang X. W. & S. E. S. Jones,533,"stope to left of Magnolia Falls (as you face upwards), just to right of a drain",,1992/1/30,1,1,0,,,,TRUE,FALSE,FALSE,,,FALSE,,,,,,2010/9/1
4,D2-1,Adiantaceae 鐵線蕨科,,Adiantum malesianum Ghatak,Adiantum,malesianum,Ghatak,0,,,Walking Maidenhair Fern,,南洋鐵線蕨,假鞭葉鐵線蕨,FALSE,FALSE,FALSE,TRUE,TRUE,2048,,,,陳德昭等,127,KFBG,嘉道理農場暨植物園,1988/3/24,1,1,0,,,,TRUE,FALSE,FALSE,,,FALSE,,,,,,2010/9/2
5,D2-1,Adiantaceae 鐵線蕨科,,Adiantum caudatum L.,Adiantum,caudatum,L.,0,,,Walking Maidenhair,Walking Fern,鞭葉鐵線蕨,有尾鐵線蕨,FALSE,FALSE,FALSE,TRUE,TRUE,1427,6/96,,,,WCL072,,,,1,1,0,,,,TRUE,FALSE,FALSE,,,FALSE,,,,,,2010/9/2
6,D2-1,Adiantaceae 鐵線蕨科,,Adiantum philippense L.,Adiantum,philippense,L.,0,,,Philippine Maidenhair,Crescent Maidenhair,半月形鐵線蕨,菲島鐵線蕨,FALSE,FALSE,TRUE,FALSE,FALSE,1550,,,,,W052,Sai Kung,西貢,,1,1,0,,,,TRUE,FALSE,FALSE,,,FALSE,,,,,,2010/9/2
7,D2-1,Adiantaceae 鐵線蕨科,,Adiantum philippense L.,Adiantum,philippense,L.,0,,,Philippine Maidenhair,Crescent Maidenhair,半月形鐵線蕨,菲島鐵線蕨,FALSE,FALSE,FALSE,TRUE,FALSE,1423,6/96,,,,WCL068,,,,1,1,0,,,,TRUE,FALSE,FALSE,,,FALSE,,,,,,2010/9/2
