"SPECIMENS","ABUNDANCE","TNC","ACCU","ACCESSION_#","QUAL","ALTITUDE","AQ","AU","ASPECT","INTCODE","INTERACTION","AM","AM_ACC_#","DEPOS","ASSOC_MAT_DESITEM","AS_IM_#","ASSOC_MAT_MISC","AM_NTK","AS_MA_#","ASSOC","ASSOC_ABUNDANCE","BARCODE","BOX_NUM","BRU_CODE","C","CITATION","CIT_PAGE","COLLECTED_WITH","COLLECTION_MISC","COLLECTOR","COLL_DT","CDQ","COLID","COLM","COLL_METHOD_MISC","COLL_NAME","COLL_#","COLL_#|PREFIX","COLL_#|SUFFIX","COLL_SERIES","COLL_TIME","C","COUNTRY_AS_GIVEN","CC","COUNTRY_ON_LABEL","C","CURATORIAL_NOTE","DATE_AS_GIVEN","DATE_ON_LABEL","DEPO","DEPTH","DQ","DU","DESCRIPTION","DESITEM","DET_NUM","DONOR","FAMILY","FILING_NAME","FILE_NN","GARDEN_COLL_MISC","GARDEN_COLLECTOR","GARD_C_DT","GDQ","GCOL","G_COLL_#","GARDEN_DESCRIPTION","GARD_LOCATION","GENUS","GEOG_AREA","GEO_REG","GEOLOGIC_AGE","GEOLOGY","GEOMORPHOLOGY","GEOREF","GEOREF_DS","GPS_DATUM","HABITAT","HA_TY","HERB_COLLECTION","HERB_NUM","HYDR","IMAGE#","IN","TYPE","KEYWORD","KS","LABEL_FOOTING","LF","LABEL_HEADING","LAB_IMG","PRINTED","LS","LABEL_TEXT","LAB_VER","LAND_OWNER","LATD","LADI","LATM","LATS","LINKED","LOAN_ITEMS","LOCALITY","G_LOC","LS","LONGD","LODI","LONGM","LONGS","MISC","MISC_INTERNAL","SCIENTIFIC_NAME","NAME_#","NATIONAL_GRID","NOMENCLATURAL_TYPE","TY","NOMEN_TYPE_NOTE","NAME_TY","#DUP","SET","OCCUPY","OU","OTHER_DATE","OTHER_LABEL_INFO","PACKET_CONTENT","PHEN","PHYTOREGION","PLACE_#","POPULATION_CENTER","POP_SIZE","PSQ","PRECIP","PROJECTION","PROJ","PROJ","PA","PSOURCE (DONOR)","PSOURCE_ACC_NUM","PSOURCE_MISC","PSOURCE_NUM","REC_ID","REC_UPDATE","BY","REGION","RESOLUTION","RESTRICTION","SAMPLE","SECOND_ID","2ND_COLL_DT","SS","SERIAL","SEX","S#","SLOPE","SOIL_TYPE","LOCN","SPEC_NUM","SUB_L","SC","SPECIAL_CHAR_NOTE","STAGE","SUBSTRATE","SUB-COUNTRY","SUB-SUB-COUNTRY","SUB-SUB-SUB COUNTRY","TAXONOMIC_NOTE","TEMP_ID_MISC","TR_CODE","TREATMENT_MISC","TR_TIME","UN","CITATION","TYPE_PG","UDF_UTM","USER10","USER2","USER3","USER4","USER5","USER1","USER7","USER8","USER9","USES","UTM","VEGETATION","VEGT","VERI_#","VERI_INFO"
"8541"," "," "," ","8507","A","429"," ","M"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","CHS-HK"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","HK"," "," "," "," "," ","KFBG"," "," "," "," "," "," "," ","OLEACEAE"," "," "," "," "," "," "," "," "," "," ","OSMANTHUS"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","H"," ","1"," "," "," "," "," "," "," ","22","N","25","35.96"," "," ","Orchid Haven, Terrace 5"," "," ","114","E","07","24.19"," "," ","Osmanthus matsumuranus Hayata","2207"," "," "," "," "," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","8507"," "," ","8541","14 JAN 2015","PKS"," "," "," "," "," "," "," "," "," "," "," "," "," ","8541"," "," "," "," "," ","New Territories","Tai PO","Kadoorie Farm and Botanic Garden"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"8542"," "," "," "," "," ","30"," "," "," "," "," "," "," "," "," "," "," "," "," ","2"," "," "," "," "," "," "," "," ","with Oroxylum indicum, Gleditsia fera, Aphananthe cuspidata","Jinlong Zhang","26 Jan 2015"," ","JL"," "," ","Jinlong Zhang","88855"," "," "," "," ","G","hong kong","HK","hong kong"," "," "," "," ","KFBG"," "," "," ","tree, 20m tall, flowers red"," "," "," ","VERBENACEAE"," "," "," "," "," "," "," "," "," "," ","VITEX"," "," "," "," "," "," "," ","WGS84","in feng shui wood","1"," ","12323"," "," ","S"," "," ","H"," ","0"," "," "," "," "," "," "," ","22","N","26","15.2"," "," ","Lam Tsuen, Hang Ha Po"," "," ","118"," ","44","17.9"," "," ","Vitex quinata (Lour.) Will."," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","8542","20 JAN 2015","JLZ"," "," "," "," "," "," "," "," "," "," "," "," ","D1-10","8542"," "," "," "," "," ","New Territories","Tai PO"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"8544"," "," "," "," "," ","60"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Jinlong Zhang","12 Jan 2015"," ","JL"," "," ","Jinlong Zhang","257"," "," "," "," ","G"," ","HK"," "," "," "," "," ","KFBG"," "," "," "," "," "," "," ","STAPHYLEACEAE"," "," "," "," "," "," "," "," "," "," ","TURPINIA"," "," "," "," "," "," "," ","WGS84"," ","1"," ","8544"," "," "," "," "," ","H"," ","1"," "," "," "," "," "," "," ","22","N","23","21"," "," ","Lam Tsuen, Hang Ha Po Feng Shui Wood"," "," ","118","E","20","26"," "," ","Turpinia arguta (Lindley) Seemann"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1","1"," "," "," "," "," ","8544","20 JAN 2015","JLZ"," "," "," "," "," "," "," "," "," "," "," "," ","D6-27","8544"," "," "," "," "," ","New Territories","Tai PO"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"8545"," "," "," "," "," ","60"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","growth with Ficus variolosa, Ficus hirta","jinlong","14 Jan 2015"," ","JL"," "," ","jinlong","4"," "," "," "," ","G"," ","HK"," "," "," "," "," ","KFBG"," "," "," ","shrub, 2m tall"," "," "," ","OLEACEAE"," "," "," "," "," "," "," "," "," "," ","LIGUSTRUM"," "," "," "," "," "," "," ","WGS84"," ","1"," ","666"," "," "," "," "," ","H"," ","1"," "," "," "," "," "," "," ","22","N","10","16.8"," "," ","lam tsuen feng shui wood"," "," ","108","E","21","22"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","8545","20 JAN 2015","JLZ"," "," "," "," "," "," "," "," "," "," "," "," ","D5-7","8545"," "," "," "," "," ","New Territories","tai po"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"4 Rows Processed"
