NAME_CN,SCIENTIFIC_NAME
大齿滇巴豆,Croton yunnanensis var. magadentus W. T. Wang
大齒滇巴豆,Croton yunnanensis var. magadentus W. T. Wang
云南巴豆,Croton yunnanensis W. W. Smith var. yunnanensis
雲南巴豆,Croton yunnanensis W. W. Smith var. yunnanensis
十字花科,Cruciferae
半毛菊属,Crupina
半毛菊屬,Crupina
半毛菊,Crupina vulgaris Cass.
隐花草属,Crypsis
隱花草屬,Crypsis
隐花草,Crypsis aculeata (L.) Ait.
隱花草,Crypsis aculeata (L.) Ait.
蔺状隐花草,Crypsis schoenoides (L.) Lam.
藺狀隱花草,Crypsis schoenoides (L.) Lam.
隐翼属,Crypteronia
隱翼屬,Crypteronia
隐翼,Crypteronia paniculata Bl.
隐翼木,Crypteronia paniculata Bl.
隱翼,Crypteronia paniculata Bl.
隱翼木,Crypteronia paniculata Bl.
隐翼科,Crypteroniaceae
隱翼科,Crypteroniaceae
厚壳桂属,Cryptocarya
厚殼桂屬,Cryptocarya
尖叶厚壳桂,Cryptocarya acutifolia H. W. Li
尖葉厚殼桂,Cryptocarya acutifolia H. W. Li
杏仁厚壳桂,Cryptocarya amygdalina Nees
杏仁厚殼桂,Cryptocarya amygdalina Nees
短序厚壳桂,Cryptocarya brachythyrsa H. W. Li
短序厚殼桂,Cryptocarya brachythyrsa H. W. Li
岩生厚壳桂,Cryptocarya calcicola H. W. Li
岩生厚殼桂,Cryptocarya calcicola H. W. Li
巖生厚殼桂,Cryptocarya calcicola H. W. Li
厚壳桂,Cryptocarya chinensis (Hance) Hemsl.
厚殼桂,Cryptocarya chinensis (Hance) Hemsl.
硬壳桂,Cryptocarya chingii Cheng
硬壳果,Cryptocarya chingii Cheng
硬殼桂,Cryptocarya chingii Cheng
硬殼果,Cryptocarya chingii Cheng
黄果厚壳桂,Cryptocarya concinna Hance
黃果厚殼桂,Cryptocarya concinna Hance
丛花厚壳桂,Cryptocarya densiflora Bl.
叢花厚殼桂,Cryptocarya densiflora Bl.
贫花厚壳桂,Cryptocarya depauperata H. W. Li
貧花厚殼桂,Cryptocarya depauperata H. W. Li
海南厚壳桂,Cryptocarya hainanensis Merr.
海南厚殼桂,Cryptocarya hainanensis Merr.
钝叶厚壳桂,Cryptocarya impressinervia H. W. Li
鈍葉厚殼桂,Cryptocarya impressinervia H. W. Li
广东厚壳桂,Cryptocarya kwangtungensis H. T. Chang
廣東厚殼桂,Cryptocarya kwangtungensis H. T. Chang
鸡卵槁,Cryptocarya leiana Allen
雞卵槁,Cryptocarya leiana Allen
白背厚壳桂,Cryptocarya maclurei Merr.
白背厚殼桂,Cryptocarya maclurei Merr.
斑果厚壳桂,Cryptocarya maculata H. W. Li
斑果厚殼桂,Cryptocarya maculata H. W. Li
長序厚殼桂,Cryptocarya metcalfiana Allen
长序厚壳桂,Cryptocarya metcalfiana Allen
红柄厚壳桂,Cryptocarya tsangii Nakai
紅柄厚殼桂,Cryptocarya tsangii Nakai
雅安厚壳桂,Cryptocarya yaanica N. Chao ex H. W. Li
雅安厚殼桂,Cryptocarya yaanica N. Chao ex H. W. Li
云南厚壳桂,Cryptocarya yunnanensis H. W. Li
雲南厚殼桂,Cryptocarya yunnanensis H. W. Li
宿苞兰属,Cryptochilus
宿苞蘭屬,Cryptochilus
宿苞兰,Cryptochilus luteus Lindl.
宿苞蘭,Cryptochilus luteus Lindl.
红花宿苞兰,Cryptochilus sanguineus Wall.
紅花宿苞蘭,Cryptochilus sanguineus Wall.
隐棒花属,Cryptocoryne
隱棒花屬,Cryptocoryne
广西隐棒花,Cryptocoryne kwaensiensis H. Li
廣西隱棒花,Cryptocoryne kwaensiensis H. Li
旋苞隐棒花,Cryptocoryne retrospiralis (Roxb.) Fisch. ex Wydler
旋苞隱棒花,Cryptocoryne retrospiralis (Roxb.) Fisch. ex Wydler
隐棒花,Cryptocoryne sinensis Merr.
隱棒花,Cryptocoryne sinensis Merr.
八仙过海,Cryptocoryne yunnanensis H. Li
八仙過海,Cryptocoryne yunnanensis H. Li
隐盘芹属,Cryptodiscus
隱盤芹屬,Cryptodiscus
隐盘芹,Cryptodiscus cachroides Schrenk
隱盤芹,Cryptodiscus cachroides Schrenk
双生隐盘芹,Cryptodiscus didymus (Regel) Korov.
雙生隱盤芹,Cryptodiscus didymus (Regel) Korov.
珠蕨属,Cryptogramma
珠蕨屬,Cryptogramma
高山珠蕨,Cryptogramma brunoniana wall. ex HK. et Grev.
峨眉珠蕨,Cryptogramma emeiensis Ching et Shing
珠蕨,Cryptogramma raddeana Fomin
陕西珠蕨,Cryptogramma shensiensis Ching
陜西珠蕨,Cryptogramma shensiensis Ching
稀叶珠蕨,Cryptogramma stelleri (Gmel.) Prantl
稀葉珠蕨,Cryptogramma stelleri (Gmel.) Prantl
白叶藤属,Cryptolepis
白葉藤屬,Cryptolepis
古钩藤,Cryptolepis buchananii Roem. et Schult.
古鉤藤,Cryptolepis buchananii Roem. et Schult.
白叶藤,Cryptolepis sinensis (Lour.) Merr.
白葉藤,Cryptolepis sinensis (Lour.) Merr.
柳杉属,Cryptomeria
柳杉屬,Cryptomeria
柳杉,Cryptomeria fortunei Hooibrenk ex Otto et Dietr.
短叶柳杉,Cryptomeria japonica ' Araucarioides '
短葉柳杉,Cryptomeria japonica ' Araucarioides '
圆球柳杉,Cryptomeria japonica ' Compactoglobosa '
圓球柳杉,Cryptomeria japonica ' Compactoglobosa '
鳞叶柳杉,Cryptomeria japonica ' Dacrydioides '
鱗葉柳杉,Cryptomeria japonica ' Dacrydioides '
扁叶柳杉,Cryptomeria japonica ' Elegans '
扁葉柳杉,Cryptomeria japonica ' Elegans '
千头柳杉,Cryptomeria japonica ' Vilmoriniana '
千頭柳杉,Cryptomeria japonica ' Vilmoriniana '
圆头柳杉,Cryptomeria japonica ' Yuantouliusha '
圓頭柳杉,Cryptomeria japonica ' Yuantouliusha '
日本柳杉,Cryptomeria japonica (L. f.) D. Don
隐子芥属,Cryptospora
隱子芥屬,Cryptospora
隐子芥,Cryptospora falcata Kar. et Kir.
隱子芥,Cryptospora falcata Kar. et Kir.
隐柱兰属,Cryptostylis
隱柱蘭屬,Cryptostylis
隐柱兰,Cryptostylis arachnites (Bl.) Hassk.
隱柱蘭,Cryptostylis arachnites (Bl.) Hassk.
台湾隐柱兰,Cryptostylis arachnites var. taiwaniana (Masamune) S. S. Ying
臺灣隱柱蘭,Cryptostylis arachnites var. taiwaniana (Masamune) S. S. Ying
鸭儿芹属,Cryptotaenia
鴨兒芹屬,Cryptotaenia
深裂鸭儿芹,Cryptotaenia japonica f. dissecta (Yabe) Hara
深裂鴨兒芹,Cryptotaenia japonica f. dissecta (Yabe) Hara
羽裂鸭儿芹,Cryptotaenia japonica f. pinnatisecta S. L. Liou
羽裂鴨兒芹,Cryptotaenia japonica f. pinnatisecta S. L. Liou
鸭儿芹,Cryptotaenia japonica Hassk.
鴨兒芹,Cryptotaenia japonica Hassk.
肋毛蕨属,Ctenitis
肋毛蕨屬,Ctenitis
顶囊肋毛蕨,Ctenitis apiciflora (Wall. ex Mett.) Ching
頂囊肋毛蕨,Ctenitis apiciflora (Wall. ex Mett.) Ching
红棕肋毛蕨,Ctenitis aureovestita (Ros.) Ching
紅棕肋毛蕨,Ctenitis aureovestita (Ros.) Ching
钙岩肋毛蕨,Ctenitis calcarea Ching et C. H. Wang
鈣岩肋毛蕨,Ctenitis calcarea Ching et C. H. Wang
鈣巖肋毛蕨,Ctenitis calcarea Ching et C. H. Wang
正安肋毛蕨,Ctenitis changanensis Ching
膜边肋毛蕨,Ctenitis clarkei (Bak.) Ching
膜邊肋毛蕨,Ctenitis clarkei (Bak.) Ching
贵州肋毛蕨,Ctenitis confusa Ching
貴州肋毛蕨,Ctenitis confusa Ching
密羽肋毛蕨,Ctenitis contigua Ching
靠脉肋毛蕨,Ctenitis costulisora Ching
靠脈肋毛蕨,Ctenitis costulisora Ching
粗柄肋毛蕨,Ctenitis crassirachis Ching
波边肋毛蕨,Ctenitis crenata Ching
波邊肋毛蕨,Ctenitis crenata Ching
海南肋毛蕨,Ctenitis decurrentipinnata (Ching) Ching
尖齿肋毛蕨,Ctenitis dentisora Ching
尖齒肋毛蕨,Ctenitis dentisora Ching
直鳞肋毛蕨,Ctenitis eatoni (Bak.) Ching
直鱗肋毛蕨,Ctenitis eatoni (Bak.) Ching
贡山肋毛蕨,Ctenitis fengiana Ching
貢山肋毛蕨,Ctenitis fengiana Ching
银毛肋毛蕨,Ctenitis fulgens Ching et C. H. Wang
銀毛肋毛蕨,Ctenitis fulgens Ching et C. H. Wang
异鳞肋毛蕨,Ctenitis heterolaena (C. Chr.) Ching
異鱗肋毛蕨,Ctenitis heterolaena (C. Chr.) Ching
缩羽肋毛蕨,Ctenitis kawakamii (Hayata) Ching
縮羽肋毛蕨,Ctenitis kawakamii (Hayata) Ching
泡鳞肋毛蕨,Ctenitis mariformis (Ros.) Ching
泡鱗肋毛蕨,Ctenitis mariformis (Ros.) Ching
阔鳞肋毛蕨,Ctenitis maximowicziana (Miq.) Ching
闊鱗肋毛蕨,Ctenitis maximowicziana (Miq.) Ching
膜叶肋毛蕨,Ctenitis membranifolia Ching et C. H. Wang
膜葉肋毛蕨,Ctenitis membranifolia Ching et C. H. Wang
長柄肋毛蕨,Ctenitis nidus (Clarke) Ching
长柄肋毛蕨,Ctenitis nidus (Clarke) Ching
棕鳞肋毛蕨,Ctenitis pseudorhodolepis Ching et C. H. Wang
棕鱗肋毛蕨,Ctenitis pseudorhodolepis Ching et C. H. Wang
虹鳞肋毛蕨,Ctenitis rhodolepis (Clarke) Ching
虹鱗肋毛蕨,Ctenitis rhodolepis (Clarke) Ching
耳形肋毛蕨,Ctenitis sacholepis (Hayata) H. Ito
圆齿肋毛蕨,Ctenitis silaensis Ching
圓齒肋毛蕨,Ctenitis silaensis Ching
无鳞肋毛蕨,Ctenitis sphaeropteroides (Bak.) Ching
無鱗肋毛蕨,Ctenitis sphaeropteroides (Bak.) Ching
亮鳞肋毛蕨,Ctenitis subglandulosa (Hance) Ching
亮鱗肋毛蕨,Ctenitis subglandulosa (Hance) Ching
疏羽肋毛蕨,Ctenitis submariformis Ching et C. H. Wang
钻鳞肋毛蕨,Ctenitis thrichorhachis (Hayata) H. Ito
鑽鱗肋毛蕨,Ctenitis thrichorhachis (Hayata) H. Ito
鉆鱗肋毛蕨,Ctenitis thrichorhachis (Hayata) H. Ito
西藏肋毛蕨,Ctenitis tibetica Ching et S. K. Wu
台湾肋毛蕨,Ctenitis transmorrisonensis (Hayata) H. Ito
臺灣肋毛蕨,Ctenitis transmorrisonensis (Hayata) H. Ito
截头肋毛蕨,Ctenitis truncata Ching et H. S. Kung ex Ching et C. H. Wang
截頭肋毛蕨,Ctenitis truncata Ching et H. S. Kung ex Ching et C. H. Wang
梵净肋毛蕨,Ctenitis wantsengshanica Ching et Shing ex Ching et C. H. Wang
梵淨肋毛蕨,Ctenitis wantsengshanica Ching et Shing ex Ching et C. H. Wang
梵凈肋毛蕨,Ctenitis wantsengshanica Ching et Shing ex Ching et C. H. Wang
云南肋毛蕨,Ctenitis yunnanensis Ching et C. H. Wang
雲南肋毛蕨,Ctenitis yunnanensis Ching et C. H. Wang
察隅肋毛蕨,Ctenitis zayuensis Ching et S. K. Wu
轴脉蕨属,Ctenitopsis
軸脈蕨屬,Ctenitopsis
顶果轴脉蕨,Ctenitopsis acrocarpa Ching
頂果軸脈蕨,Ctenitopsis acrocarpa Ching
毛盖轴脉蕨,Ctenitopsis angustodissecta (Hayata) Ching
毛蓋軸脈蕨,Ctenitopsis angustodissecta (Hayata) Ching
中华轴脉蕨,Ctenitopsis chinensis Ching et C. H. Wang
中華軸脈蕨,Ctenitopsis chinensis Ching et C. H. Wang
毛叶轴脉蕨,Ctenitopsis devexa (Kunze) Ching et C. H. Wang
毛葉軸脈蕨,Ctenitopsis devexa (Kunze) Ching et C. H. Wang
薄叶轴脉蕨,Ctenitopsis dissecta (Forst.) Ching
薄葉軸脈蕨,Ctenitopsis dissecta (Forst.) Ching
黑鳞轴脉蕨,Ctenitopsis fuscipes (Bedd.) Tard.-Blot et C. Chr.
黑鱗軸脈蕨,Ctenitopsis fuscipes (Bedd.) Tard.-Blot et C. Chr.
光滑轴脉蕨,Ctenitopsis glabra Ching et C. H. Wang
光滑軸脈蕨,Ctenitopsis glabra Ching et C. H. Wang
海南轴脉蕨,Ctenitopsis hainanensis Ching et C. H. Wang
海南軸脈蕨,Ctenitopsis hainanensis Ching et C. H. Wang
西藏轴脉蕨,Ctenitopsis ingens (Atkinson ex Clarke) Ching
西藏軸脈蕨,Ctenitopsis ingens (Atkinson ex Clarke) Ching
台湾轴脉蕨,Ctenitopsis kusukusensis (Hayata) C. Chr.
臺灣軸脈蕨,Ctenitopsis kusukusensis (Hayata) C. Chr.
齿裂轴脉蕨,Ctenitopsis kusukusensis var. crenatolobata Tagawa
齒裂軸脈蕨,Ctenitopsis kusukusensis var. crenatolobata Tagawa
粤北轴脉蕨,Ctenitopsis matthewi (Ching) Ching
粵北軸脈蕨,Ctenitopsis matthewi (Ching) Ching
轴脉蕨,Ctenitopsis sagenioides (Mett.) Ching
軸脈蕨,Ctenitopsis sagenioides (Mett.) Ching
光叶轴脉蕨,Ctenitopsis sagenioides var. glabrescens Ching et C. H. Wang
光葉軸脈蕨,Ctenitopsis sagenioides var. glabrescens Ching et C. H. Wang
棕毛轴脉蕨,Ctenitopsis setulosa (Bak.) C. Chr. ex Tard.-Blot et C. Chr.
棕毛軸脈蕨,Ctenitopsis setulosa (Bak.) C. Chr. ex Tard.-Blot et C. Chr.
厚叶轴脉蕨,Ctenitopsis sinii (Ching) Ching
厚葉軸脈蕨,Ctenitopsis sinii (Ching) Ching
棕柄轴脉蕨,Ctenitopsis subfuscipes Tagawa
棕柄軸脈蕨,Ctenitopsis subfuscipes Tagawa
无盖轴脉蕨,Ctenitopsis subsageniaca (Christ) Ching
無蓋軸脈蕨,Ctenitopsis subsageniaca (Christ) Ching
河口轴脉蕨,Ctenitopsis tamdaoensis Ching
河口軸脈蕨,Ctenitopsis tamdaoensis Ching
蒿蕨属,Ctenopteris
蒿蕨屬,Ctenopteris
蒿蕨,Ctenopteris curtisii (Baker) Copel.
拟虎尾蒿蕨,Ctenopteris merrittii (Copel.) Tagawa
擬虎尾蒿蕨,Ctenopteris merrittii (Copel.) Tagawa
南洋蒿蕨,Ctenopteris mollicoma (Nees et Blume) Kunze
光滑蒿蕨,Ctenopteris moultonii (Copel.) C. Chr. et Tardieu
虎尾蒿蕨,Ctenopteris subfalcata (Blume) Kunze
细叶蒿蕨,Ctenopteris tenuisecta (Blume) J. Sm.
細葉蒿蕨,Ctenopteris tenuisecta (Blume) J. Sm.
狗筋蔓属,Cucubalus
狗筋蔓屬,Cucubalus
狗筋蔓,Cucubalus baccifer L.
黄瓜属,Cucumis
黃瓜屬,Cucumis
小马泡,Cucumis bisexualis A. M. Lu et G. C. Wang ex Lu et Z. Y. Zhang
小馬泡,Cucumis bisexualis A. M. Lu et G. C. Wang ex Lu et Z. Y. Zhang
野黄瓜,Cucumis hystrix Chakr
野黃瓜,Cucumis hystrix Chakr
甜瓜,Cucumis melo L.
马泡瓜,Cucumis melo var. agrestis Naud.
馬泡瓜,Cucumis melo var. agrestis Naud.
菜瓜,Cucumis melo var. conomon (Thunb.) Makino
黄瓜,Cucumis sativus L.
黃瓜,Cucumis sativus L.
西南野黄瓜,Cucumis sativus var. hardwickii (Royle) Alef.
西南野黃瓜,Cucumis sativus var. hardwickii (Royle) Alef.
南瓜属,Cucurbita
南瓜屬,Cucurbita
笋瓜,Cucurbita maxima Duch. ex Lam.
筍瓜,Cucurbita maxima Duch. ex Lam.
南瓜,Cucurbita moschata (Duch. ex Lam.) Duch. ex Poiret
西葫芦,Cucurbita pepo L.
西葫蘆,Cucurbita pepo L.
葫芦科,Cucurbitaceae
葫蘆科,Cucurbitaceae
柘属,Cudrania
柘屬,Cudrania
景东拓,Cudrania amboinensis (Bl.) Miq.
景東拓,Cudrania amboinensis (Bl.) Miq.
构棘,Cudrania cochinchinensis (Lour.) Kudo et Masam.
構棘,Cudrania cochinchinensis (Lour.) Kudo et Masam.
拓藤,Cudrania fruticosa (Roxb.) Wight ex Kurz
毛拓藤,Cudrania pubescens Trec.
拓树,Cudrania tricuspidata (Carr.) Bur. ex Lavallee
拓樹,Cudrania tricuspidata (Carr.) Bur. ex Lavallee
孜然芹属,Cuminum
孜然芹屬,Cuminum
孜然,Cuminum cyminum L.
杉木属,Cunninghamia
杉木屬,Cunninghamia
台湾杉木,Cunninghamia konishii Hayata
臺灣杉木,Cunninghamia konishii Hayata
灰叶杉木,Cunninghamia lanceolata ' Glauca '
灰葉杉木,Cunninghamia lanceolata ' Glauca '
软叶杉木,Cunninghamia lanceolata ' Mollifolia '
軟葉杉木,Cunninghamia lanceolata ' Mollifolia '
杉木,Cunninghamia lanceolata (Lamb.) Hook.
萼距花属,Cuphea
萼距花屬,Cuphea
香膏萼距花,Cuphea balsamona Cham. et Schlechtend.
萼距花,Cuphea hookeriana Walp.
细叶萼距花,Cuphea hyssopifolia Kunth
細葉萼距花,Cuphea hyssopifolia Kunth
披针叶萼距花,Cuphea lanceolata Ait.
披針葉萼距花,Cuphea lanceolata Ait.
小瓣萼距花,Cuphea micropetala H. B. K.
粘毛萼距花,Cuphea Petiolata (L.) Koehne
黏毛萼距花,Cuphea petiolata (L.) Koehne
火红萼距花,Cuphea platycentra Lem.
火紅萼距花,Cuphea platycentra Lem.
平卧萼距花,Cuphea procumbens Cav.
平臥萼距花,Cuphea procumbens Cav.
柏科,Cupressaceae
柏木属,Cupressus
柏木屬,Cupressus
绿干柏,Cupressus arizonica Greene
綠幹柏,Cupressus arizonica Greene
岷江柏木,Cupressus chengiana S. Y. Hu
干香柏,Cupressus duclouxiana Hickel
幹香柏,Cupressus duclouxiana Hickel
柏木,Cupressus funebris Endl.
巨柏,Cupressus gigantea Cheng et L. K. Fu
加利福尼亚柏木,Cupressus goveniana Gord.
加利福尼亞柏木,Cupressus goveniana Gord.
墨西哥柏木,Cupressus lusitanica Mill.
地中海柏木,Cupressus sempervirens L.
西藏柏木,Cupressus torulosa D. Don
仙茅属,Curculigo
仙茅屬,Curculigo
短葶仙茅,Curculigo breviscapa S. C. Chen
大叶仙茅,Curculigo capitulata (Lour.) O. Ktze.
大葉仙茅,Curculigo capitulata (Lour.) O. Ktze.
绒叶仙茅,Curculigo crassifolia (Baker) Hook. f.
絨葉仙茅,Curculigo crassifolia (Baker) Hook. f.
光叶仙茅,Curculigo glabrescens (Ridl.) Merr.
光葉仙茅,Curculigo glabrescens (Ridl.) Merr.
疏花仙茅,Curculigo gracilis (Wall. ex Kurz) Hook. f.
仙茅,Curculigo orchioides Gaertn.
中华仙茅,Curculigo sinensis S. C. Chen
中華仙茅,Curculigo sinensis S. C. Chen
姜黄属,Curcuma
姜黃屬,Curcuma
温郁金,Curcuma aromatica ' Wenyujin '
溫郁金,Curcuma aromatica ' Wenyujin '
郁金,Curcuma aromatica Salisb.
广西莪术,Curcuma kwangsiensis S. G. Lee et C. F. Liang
廣西莪術,Curcuma kwangsiensis S. G. Lee et C. F. Liang
姜黄,Curcuma longa L.
姜黃,Curcuma longa L.
莪术,Curcuma zedoaria (Christm.) Rosc.
莪術,Curcuma zedoaria (Christm.) Rosc.
菟丝子属,Cuscuta
菟絲子屬,Cuscuta
南方菟丝子,Cuscuta australis R. Br.
南方菟絲子,Cuscuta australis R. Br.
菟丝子,Cuscuta chinensis Lam.
菟絲子,Cuscuta chinensis Lam.
杯花菟丝子,Cuscuta cupulata Engelm.
杯花菟絲子,Cuscuta cupulata Engelm.
欧洲菟丝子,Cuscuta europaea L.
歐洲菟絲子,Cuscuta europaea L.
金灯藤,Cuscuta japonica Choisy
金燈藤,Cuscuta japonica Choisy
川西金灯藤,Cuscuta japonica var. fissistyla Engelm.
川西金燈藤,Cuscuta japonica var. fissistyla Engelm.
台湾菟丝子,Cuscuta japonica var. formosana (Hayata) Yuncker
臺灣菟絲子,Cuscuta japonica var. formosana (Hayata) Yuncker
啤酒花菟丝子,Cuscuta lupuliformis Krocker
啤酒花菟絲子,Cuscuta lupuliformis Krocker
单柱菟丝子,Cuscuta monogyna Vahl
單柱菟絲子,Cuscuta monogyna Vahl
短柱头菟丝子,Cuscuta reflexa var. anguina (Eegew.) C. B. Clarke
短柱頭菟絲子,Cuscuta reflexa var. anguina (Eegew.) C. B. Clarke
瓜儿豆属,Cyamopsis
瓜兒豆屬,Cyamopsis
蓝钟花属,Cyananthus
藍鐘花屬,Cyananthus
总花蓝钟花,Cyananthus argenteus Marq.
總花藍鐘花,Cyananthus argenteus Marq.
中甸蓝钟花,Cyananthus chungdianensis C. Y. Wu
中甸藍鐘花,Cyananthus chungdianensis C. Y. Wu
心叶蓝钟花,Cyananthus cordifolius Duthie
心葉藍鐘花,Cyananthus cordifolius Duthie
细叶蓝钟花,Cyananthus delavayi Marq.
細葉藍鐘花,Cyananthus delavayi Marq.
川西蓝钟花,Cyananthus dolichosceles Marq.
川西藍鐘花,Cyananthus dolichosceles Marq.
束花蓝钟花,Cyananthus fasciculatus Marq.
束花藍鐘花,Cyananthus fasciculatus Marq.
光叶黄钟花,Cyananthus flavus var. glaber C. Y. Wu
光葉黃鐘花,Cyananthus flavus var. glaber C. Y. Wu
美丽蓝钟花,Cyananthus formosus Diels
美麗藍鐘花,Cyananthus formosus Diels
蓝钟花,Cyananthus hookeri C. B. Cl.
藍鐘花,Cyananthus hookeri C. B. Cl.
光茎蓝钟花,Cyananthus hookeri var. levicaulis Franch.
光莖藍鐘花,Cyananthus hookeri var. levicaulis Franch.
蔓茎蓝钟花,Cyananthus incanus var. decumbens Lian
蔓莖藍鐘花,Cyananthus incanus var. decumbens Lian
矮小蓝钟花,Cyananthus incanus var. parvus Marq.
矮小藍鐘花,Cyananthus incanus var. parvus Marq.
胀萼蓝钟花,Cyananthus inflatus Hook. f. et Thoms.
脹萼藍鐘花,Cyananthus inflatus Hook. f. et Thoms.
光萼蓝钟花,Cyananthus leiocalyx (Franch.) Cowan
光萼藍鐘花,Cyananthus leiocalyx (Franch.) Cowan
丽江蓝钟花,Cyananthus lichiangensis W. W. Sm.
麗江藍鐘花,Cyananthus lichiangensis W. W. Sm.
裂叶蓝钟花,Cyananthus lobatus Wall. ex Benth.
裂葉藍鐘花,Cyananthus lobatus Wall. ex Benth.
長花藍鐘花,Cyananthus longiflorus Franch.
长花蓝钟花,Cyananthus longiflorus Franch.
大萼蓝钟花,Cyananthus macrocalyx Franch.
大萼藍鐘花,Cyananthus macrocalyx Franch.
黄紫花蓝钟花,Cyananthus macrocalyx var. flavopurpureus Marq.
黃紫花藍鐘花,Cyananthus macrocalyx var. flavopurpureus Marq.
毛蓝钟花,Cyananthus macrocalyx var. pilosus Marq.
毛藍鐘花,Cyananthus macrocalyx var. pilosus Marq.
小叶蓝钟花,Cyananthus microphyllus Edgew.
小葉藍鐘花,Cyananthus microphyllus Edgew.
小菱叶蓝钟花,Cyananthus microrhombeus C. Y. Wu
小菱葉藍鐘花,Cyananthus microrhombeus C. Y. Wu
光萼小菱叶蓝钟花,Cyananthus microrhombeus var. leiocalyx C. Y. Wu
光萼小菱葉藍鐘花,Cyananthus microrhombeus var. leiocalyx C. Y. Wu
白钟花,Cyananthus montanus C. Y. Wu
白鐘花,Cyananthus montanus C. Y. Wu
脉萼蓝钟花,Cyananthus neurocalyx C. Y. Wu
脈萼藍鐘花,Cyananthus neurocalyx C. Y. Wu
有梗蓝钟花,Cyananthus pedunculatus C. B. Clarke
有梗藍鐘花,Cyananthus pedunculatus C. B. Clarke
毛叶蓝钟花,Cyananthus petiolatus Franch.
毛葉藍鐘花,Cyananthus petiolatus Franch.
黄白花蓝钟花,Cyananthus petiolatus var. pilifolius (C. Y. Wu) Lian
黃白花藍鐘花,Cyananthus petiolatus var. pilifolius (C. Y. Wu) Lian
短毛蓝钟花,Cyananthus pseudoinflatus Tsoong
短毛藍鐘花,Cyananthus pseudoinflatus Tsoong
绢毛蓝钟花,Cyananthus sericeus Lian
絹毛藍鐘花,Cyananthus sericeus Lian
杂毛蓝钟花,Cyananthus sherriffii Cowan
雜毛藍鐘花,Cyananthus sherriffii Cowan
瓜儿豆,Cyanopsis tetragonoloba (L.) Taub.
瓜兒豆,Cyanopsis tetragonoloba (L.) Taub.
蓝耳草属,Cyanotis
藍耳草屬,Cyanotis
蛛丝毛蓝耳草,Cyanotis arachnoidea C. B. Clarke
蛛絲毛藍耳草,Cyanotis arachnoidea C. B. Clarke
四孔草,Cyanotis cristata (L.) D. Don
沙地蓝耳草,Cyanotis loureiriana (Roem. et Schult.) Merr.
沙地藍耳草,Cyanotis loureiriana (Roem. et Schult.) Merr.
蓝耳草,Cyanotis vaga (Lour.) Roem. et Schult.
藍耳草,Cyanotis vaga (Lour.) Roem. et Schult.
杯菊属,Cyathocline
杯菊屬,Cyathocline
杯菊,Cyathocline purpurea (Buch.-Ham. ex De Don) O. Kuntze.
杯冠木属,Cyathostemma
杯冠木屬,Cyathostemma
杯冠本,Cyathostemma yunnanense Hu
杯苋属,Cyathula
杯莧屬,Cyathula
头花杯苋,Cyathula capitata (Wall.) Moq.
頭花杯莧,Cyathula capitata (Wall.) Moq.
川牛膝,Cyathula oficinalis Kuan
杯苋,Cyathula prostrata (L.) Blume
杯莧,Cyathula prostrata (L.) Blume
绒毛杯苋,Cyathula tomentosa (Roth) Moq.
絨毛杯莧,Cyathula tomentosa (Roth) Moq.
苏铁科,Cycadaceae
蘇鐵科,Cycadaceae
苏铁属,Cycas
蘇鐵屬,Cycas
海南苏铁,Cycas hainanensis C. J. Chen
海南蘇鐵,Cycas hainanensis C. J. Chen
澳洲苏铁,Cycas media R. Br.
澳洲蘇鐵,Cycas media R. Br.
叉叶苏铁,Cycas micholitzii Dyer
叉葉蘇鐵,Cycas micholitzii Dyer
篦齿苏铁,Cycas pectinata Griff.
篦齒蘇鐵,Cycas pectinata Griff.
苏铁,Cycas revoluta Thunb.
蘇鐵,Cycas revoluta Thunb.
华南苏铁,Cycas rumphii Miq.
華南蘇鐵,Cycas rumphii Miq.
云南苏铁,Cycas siamensis Miq.
雲南蘇鐵,Cycas siamensis Miq.
四川苏铁,Cycas szechuanensis Cheng et L. K. Hu
四川蘇鐵,Cycas szechuanensis Cheng et L. K. Hu
台湾苏铁,Cycas taiwaniana Carruth.
臺灣蘇鐵,Cycas taiwaniana Carruth.
仙客来属,Cyclamen
仙客來屬,Cyclamen
仙客来,Cyclamen persicum Mill.
仙客來,Cyclamen persicum Mill.
小雀瓜属,Cyclanthera
小雀瓜屬,Cyclanthera
小雀瓜,Cyclanthera pedata (L.) Schrad.
冕宁毛蕨,Cyclasorus mianningensis Ching
冕寧毛蕨,Cyclasorus mianningensis Ching
轮环藤属,Cyclea
輪環藤屬,Cyclea
毛叶轮环藤,Cyclea barbata Miers
毛葉輪環藤,Cyclea barbata Miers
纤花轮环藤,Cyclea debiliflora Miers
纖花輪環藤,Cyclea debiliflora Miers
纤细轮环藤,Cyclea gracillima Diels
纖細輪環藤,Cyclea gracillima Diels
粉叶轮环藤,Cyclea hypoglauca (Schauer) Diels
粉葉輪環藤,Cyclea hypoglauca (Schauer) Diels
海岛轮环藤,Cyclea insularis (Makino) Hatusima
海島輪環藤,Cyclea insularis (Makino) Hatusima
黔桂轮环藤,Cyclea insularis subsp. guangxiensis Lo
黔桂輪環藤,Cyclea insularis subsp. guangxiensis Lo
弄崗輪環藤,Cyclea longgangensis J. Y. Luo
弄岗轮环藤,Cyclea longgangensis J. Y. Luo
云南轮环藤,Cyclea meeboldii Diels
