PREVIOUS_HERB_NO,STORAGE_LOCATION,DATE_TO_HERB,COLLECTOR,COLLECTOR_NUMBER,FAMILY,SPECIES,CHINESE_NAME,COLLECTION_DATE,NUMBER_OF_SPECIEMEN,NUMBER_OF_COPIES,LOCALITY,ALTITUDE,GPS_N,GPS_E,NOTES,VERIFIED_BY,VERIFICATION_DATE,DRY_SPECIMEN,SILICA_GEL_SAMPLE,LIVE,SPIRIT
No,Storage Location,Date to Herb,Collector,Collector No,Family,Species,Chinese Name,Collection Date,Number of Specimen,Number of Copies,Locality,Altitude,GPS N,GPS E,Notes,Verified By,Verification Date,Dry 乾標本,DNA 分子材料,Live 活標本,Spirit 浸泡標本
1429,,2010/4/13,Hong Kong Fern Survey Team,HKFSA66,Lindsaeaceae 鱗始蕨科,Lindsaea orbiculata,海島輪始蕨,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
1430,,2010/4/13,Hong Kong Fern Survey Team,HKFSA67,Pteridaceae 鳳尾蕨科,Pteris ensiformis,劍葉鳳尾蕨,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
1431,,2010/4/13,Hong Kong Fern Survey Team,HKFSA68,Aspleniaceae 鐵角蕨科,Asplenium falcatum,簾葉鐵角蕨,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
1432,,2010/4/13,Hong Kong Fern Survey Team,HKFSA69,Adiantaceae 鐵線蕨科,Adiantum caudatum,鞭葉鐵線蕨,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
1433,,2010/4/13,Hong Kong Fern Survey Team,HKFSA70,Hymenophyllaceae 膜蕨科,Gonocormus minutum,團扇蕨,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE
